CI_ID,CI_Type,Name,OperatingSystem,Environment,Application,Vendor,IP_Address,Version,InstallDate,Status,CPU_Cores,Memory_GB,Database_Type,Network_Interface,Load_Balancing_Algorithm,Region,Owner
CI-0001,Application,Application-717,,Test,message-queue-1,Oracle,,4.2.0,2024-04-10,Stopped,,,,,,US-West,User-27
CI-0002,Server,Server-785,Windows Server 2019,Production,,Microsoft,192.168.158.147,5.7.1,2024-06-12,Maintenance,10.0,4.0,,,,AP-Southeast,User-89
CI-0003,LoadBalancer,LoadBalancer-169,,Development,,Cisco,192.168.190.16,5.2.9,2024-04-07,Stopped,,,,,IP Hash,EU-Central,User-66
CI-0004,NetworkDevice,NetworkDevice-660,,Staging,,HP,192.168.219.71,3.5.8,2024-10-16,Maintenance,,,,Fiber,,US-West,User-20
CI-0005,Server,Server-341,macOS Server,Test,,Oracle,192.168.209.90,4.3.3,2024-11-26,Running,3.0,14.0,,,,US-East,User-62
CI-0006,Server,Server-282,Linux CentOS 7,Development,,Cisco,192.168.56.240,3.5.0,2024-09-10,Running,12.0,18.0,,,,US-East,User-51
CI-0007,Database,Database-548,,Staging,,Microsoft,,4.2.8,2024-07-13,Maintenance,,,PostgreSQL,,,US-East,User-16
CI-0008,LoadBalancer,LoadBalancer-162,,Staging,,Microsoft,192.168.179.77,2.7.1,2025-01-19,Maintenance,,,,,IP Hash,US-West,User-45
CI-0009,LoadBalancer,LoadBalancer-338,,Test,,Dell,192.168.221.254,2.3.2,2024-07-15,Running,,,,,Least Connections,AP-Southeast,User-93
CI-0010,Application,Application-926,,Test,api-gateway-1,Microsoft,,2.4.6,2025-02-07,Running,,,,,,US-East,User-92
CI-0011,Database,Database-252,,Test,,Cisco,,2.8.5,2024-05-19,Error,,,OracleDB,,,US-East,User-55
CI-0012,Application,Application-883,,Production,server-2,Dell,,3.7.7,2025-02-18,Maintenance,,,,,,AP-Southeast,User-35
CI-0013,Application,Application-296,,Production,server-1,HP,,5.7.6,2024-06-14,Stopped,,,,,,US-West,User-83
CI-0014,Application,Application-275,,Test,server-2,Oracle,,1.9.6,2024-11-21,Maintenance,,,,,,US-East,User-92
CI-0015,NetworkDevice,NetworkDevice-181,,Test,,Dell,192.168.1.232,3.9.8,2024-04-19,Stopped,,,,Fiber,,AP-Southeast,User-20
CI-0016,Server,Server-758,Windows Server 2019,Staging,,Cisco,192.168.200.158,3.8.9,2024-08-29,Stopped,3.0,54.0,,,,US-East,User-20
